"Top TikTok Songs This WeekLast Updated 9/30/2022, 4:31:02 AM",artist
Monkeys Spinning Monkeys,artist
Love You So,artist
BABY OTAKU,artist
CUFF IT,artist
Aesthetic,artist
original sound - rinaskrg,artist
DJ Sipak Nando Nando Meyden x DedeOmat,artist
BIZCOCHITO,artist
original sound - danivallem,artist
Original Sound,artist
original sound - ojc.oli,artist
MELODY ZEXXO SPEED UP KANE,artist
original sound - hanzerrr,artist
Sensual Seduction,artist
Run Boy Run,artist
KU LO SA (Edit),artist
Somewhere Only We Know,artist
B.O.T.A. (Baddest Of Them All),artist
DINO SONG,artist
Funny Song,artist
Cool Kids (our sped up version),artist
Paris,artist
original sound - xxtristanxo,artist
Super Freaky Girl,artist
Unholy,artist
Shut Down,artist
Blade Runner 2049,artist
super freaky girl nicki minaj out now,artist
original sound - songspzed,artist
original sound - ferchismejia,artist
